DATE,SP500_PCH
44102,1.61105
44103,-0.48126
44104,0.82537
44105,0.52929
44106,-0.95717
44109,1.79755
44110,-1.3988
44111,1.74058
44112,0.80071
44113,0.87907
44116,1.64187
44117,-0.63069
44118,-0.66231
44119,-0.15278
44120,0.01349
44123,-1.63298
44124,0.47273
44125,-0.21957
44126,0.52189
44127,0.34458
44130,-1.85895
44131,-0.30256
44132,-3.52879
44133,1.19473
44134,-1.21295
44137,1.23182
44138,1.77993
44139,2.2047
44140,1.94602
44141,-0.02877
44144,1.16999
44145,-0.13998
44146,0.76519
44147,-0.99786
44148,1.36104
44151,1.1648
44152,-0.4792
44153,-1.15638
44154,0.39464
44155,-0.67925
44158,0.56359
44159,1.61617
44160,-0.15844
44165,-0.45955
44166,1.12712
44167,0.17912
44168,-0.06241
44169,0.88362
44172,-0.19356
44173,0.27871
44174,-0.79492
44175,-0.12851
44176,-0.1265
44179,-0.43593
44180,1.29212
44181,0.17728
44182,0.57576
44183,-0.35111
44186,-0.39063
44187,-0.20731
44188,0.07458
44189,0.35366
44194,-0.22274
44195,0.13415
44196,0.64388
44201,0.70825
44202,0.57099
44203,1.48474
44204,0.54919
44207,-0.65548
44208,0.04158
44209,0.22756
44210,-0.37534
44211,-0.719
44216,1.39356
44217,0.03167
44218,-0.30106
44221,0.36158
44222,-0.14888
44223,-2.56779
44224,0.97607
44225,-1.93115
44228,1.60517
44229,1.38982
44230,0.10088
44231,1.08533
44232,0.38975
44235,0.73993
44236,-0.11135
44237,-0.03452
44238,0.16625
44239,0.4711
44244,-0.03204
44245,-0.44158
44246,-0.18549
44249,-0.77328
44250,0.12563
44251,1.13517
44252,-2.44788
44253,-0.47502
44256,2.37907
44257,-0.80808
44258,-1.30662
44259,-1.34172
44260,1.9496
44263,-0.53593
44264,1.41547
44265,0.60303
44266,1.03955
44267,0.10154
44270,0.6492
44271,-0.15697
44272,0.28793
44273,-1.47605
44274,-0.06027
44277,0.70251
44278,-0.76308
44279,-0.54673
44280,0.52402
44281,1.66312
44284,-0.0868
44285,-0.31578
44286,0.36225
44287,1.18251
44292,-0.09735
44293,0.14752
44294,0.42206
44295,0.772
44298,-0.01962
44299,0.32946
44300,-0.40878
44301,1.10942
44302,0.36087
44305,-0.53065
44306,-0.68024
44307,0.93061
44308,-0.92107
44309,1.09287
44312,0.17822
